file name A,file name B,esn type,number datasets,feedback,test/train,loss
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.9861241491222945
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.19438843710457157
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.9526649080895373
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.8195124796325919
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,2.4782610077513163
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.477286917721767
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,2.267775630646484
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.643026895621547
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.6210810127445849
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.6627632461165445
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.6623256095053763
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,0.7959188725573132
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.5710817253072197
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,0.7902991683777615
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.6786875579179451
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.44233986384978474
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.0564249630174787
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.027835019287028
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.3225824004340432
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.8589769918465626
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.253275584656023
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.0094227422783562
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.7789643011605409
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.8431405213884897
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.7766024275601023
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.1772921654374344
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.6010006590051983
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.3103302198187168
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.739411449254481
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.30339170161427603
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.636985876039725
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.53370840836457
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,2.127978661072701
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.2527964827701457
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.9832963556056546
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.481838212132734
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.3405634310993326
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.2648805301592803
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.2168944371732262
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.5911356231880132
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,1.0058674107761334
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.4874024030737885
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,1.1439815164198617
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.4165930455518966
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,0.9789230130586379
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,0.9624241481166105
saves/ESN_C_08-09-2021_23-18-51.pth,,standard_60,50,no,test,1.2101973968621762
saves/ESN_C_loop_08-09-2021_23-18-52.pth,,standard_60,50,yes,test,0.8186959512185106
saves/ESN_A_2_esn_08-09-2021_23-18-54.pth,saves/ESN_B_2_esn_08-09-2021_23-18-54.pth,double_30,50,no,test,1.1332616374551165
saves/ESN_A_2_esnF_08-09-2021_23-18-57.pth,saves/ESN_B_2_esnF_08-09-2021_23-18-57.pth,double_30,50,yes,test,0.9458145187551327
08-09-2021_23-09-43,,mega_ABA,50,yes,test,0.41545131459795925
saves/ESN_C_08-09-2021_23-18-48.pth,,standard_30,50,no,test,1.5317235189837421
saves/ESN_C_loop_08-09-2021_23-18-50.pth,,standard_30,50,yes,test,1.418704489129416
